EIA data,,,,,,EIA data,,,,
,,,,,,,,,,
"EIA data, but copied and redated to match Clack data. ",,,,,,,,,,
Clack data goes from 1 Jan 2006 to 31 Dec 2008.  2008 is a leap year.,,,,,,,,,,
EIA data for full years goes from 1 Jan 2016 to 31 Dec 2017. 2016 is a leap year,,,,,,,,,,
"To match 3 years of clack 2017 is mapped to 2006 and 2007, 2016 is mapped to 2008. Then these 3 years are normalize to a time mean of 1.",,,,,,,,,,
,,,,,,,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,,,Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,,,,,,,
BEGIN_DATA,,,,,,,,,,
year,month,day,hour,demand,,original year,original month,original day,original hour,original demand data with 3 year mean of 1.00494788625304
2006,1,3,3,1.045228329,,2017,1,3,3,1.0504
2006,1,3,4,1.036869687,,2017,1,3,4,1.042
2006,1,3,5,1.005922808,,2017,1,3,5,1.0109
2006,1,3,6,0.96144289,,2017,1,3,6,0.9662
2006,1,3,7,0.910395467,,2017,1,3,7,0.9149
2006,1,3,8,0.869398316,,2017,1,3,8,0.8737
2006,1,3,9,0.839247499,,2017,1,3,9,0.8434
2006,1,3,10,0.816758771,,2017,1,3,10,0.8208
2006,1,3,11,0.80830062,,2017,1,3,11,0.8123
2006,1,3,12,0.81168388,,2017,1,3,12,0.8157
2006,1,3,13,0.836958823,,2017,1,3,13,0.8411
2006,1,3,14,0.894872274,,2017,1,3,14,0.8993
2006,1,3,15,0.959651752,,2017,1,3,15,0.9644
2006,1,3,16,0.997265643,,2017,1,3,16,1.0022
2006,1,3,17,1.020749448,,2017,1,3,17,1.0258
2006,1,3,18,1.038362301,,2017,1,3,18,1.0435
2006,1,3,19,1.04771602,,2017,1,3,19,1.0529
2006,1,3,20,1.048910112,,2017,1,3,20,1.0541
2006,1,3,21,1.048313066,,2017,1,3,21,1.0535
2006,1,3,22,1.045128821,,2017,1,3,22,1.0503
2006,1,3,23,1.041148516,,2017,1,3,23,1.0463
2006,1,3,24,1.047915036,,2017,1,3,24,1.0531
2006,1,4,1,1.074085547,,2017,1,4,1,1.0794
2006,1,4,2,1.102047196,,2017,1,4,2,1.1075
2006,1,4,3,1.112097468,,2017,1,4,3,1.1176
2006,1,4,4,1.106226517,,2017,1,4,4,1.1117
2006,1,4,5,1.076971269,,2017,1,4,5,1.0823
2006,1,4,6,1.031297258,,2017,1,4,6,1.0364
2006,1,4,7,0.981244912,,2017,1,4,7,0.9861
2006,1,4,8,0.936764993,,2017,1,4,8,0.9414
2006,1,4,9,0.904922546,,2017,1,4,9,0.9094
2006,1,4,10,0.885021017,,2017,1,4,10,0.8894
2006,1,4,11,0.877358928,,2017,1,4,11,0.8817
2006,1,4,12,0.883329387,,2017,1,4,12,0.8877
2006,1,4,13,0.913281189,,2017,1,4,13,0.9178
2006,1,4,14,0.977762144,,2017,1,4,14,0.9826
2006,1,4,15,1.046820451,,2017,1,4,15,1.052
2006,1,4,16,1.077866837,,2017,1,4,16,1.0832
2006,1,4,17,1.092195939,,2017,1,4,17,1.0976
2006,1,4,18,1.097469844,,2017,1,4,18,1.1029
2006,1,4,19,1.091101355,,2017,1,4,19,1.0965
2006,1,4,20,1.080653052,,2017,1,4,20,1.086
2006,1,4,21,1.070602779,,2017,1,4,21,1.0759
2006,1,4,22,1.06085103,,2017,1,4,22,1.0661
2006,1,4,23,1.054283525,,2017,1,4,23,1.0595
2006,1,4,24,1.063438229,,2017,1,4,24,1.0687
2006,1,5,1,1.104932918,,2017,1,5,1,1.1104
2006,1,5,2,1.151004958,,2017,1,5,2,1.1567
2006,1,5,3,1.17210058,,2017,1,5,3,1.1779
2006,1,5,4,1.174986301,,2017,1,5,4,1.1808
2006,1,5,5,1.150308405,,2017,1,5,5,1.156
2006,1,5,6,1.107818639,,2017,1,5,6,1.1133
2006,1,5,7,1.060950537,,2017,1,5,7,1.0662
2006,1,5,8,1.01895831,,2017,1,5,8,1.024
2006,1,5,9,0.988807493,,2017,1,5,9,0.9937
2006,1,5,10,0.969503009,,2017,1,5,10,0.9743
2006,1,5,11,0.964328612,,2017,1,5,11,0.9691
2006,1,5,12,0.97159267,,2017,1,5,12,0.9764
2006,1,5,13,1.001245949,,2017,1,5,13,1.0062
2006,1,5,14,1.068911149,,2017,1,5,14,1.0742
2006,1,5,15,1.135083735,,2017,1,5,15,1.1407
2006,1,5,16,1.159463108,,2017,1,5,16,1.1652
2006,1,5,17,1.16533406,,2017,1,5,17,1.1711
2006,1,5,18,1.166030613,,2017,1,5,18,1.1718
2006,1,5,19,1.159065078,,2017,1,5,19,1.1648
2006,1,5,20,1.14543253,,2017,1,5,20,1.1511
2006,1,5,21,1.135780288,,2017,1,5,21,1.1414
2006,1,5,22,1.129710322,,2017,1,5,22,1.1353
2006,1,5,23,1.125929031,,2017,1,5,23,1.1315
2006,1,5,24,1.132297521,,2017,1,5,24,1.1379
2006,1,6,1,1.164139968,,2017,1,6,1,1.1699
2006,1,6,2,1.197674045,,2017,1,6,2,1.2036
2006,1,6,3,1.211804131,,2017,1,6,3,1.2178
2006,1,6,4,1.212799207,,2017,1,6,4,1.2188
2006,1,6,5,1.18772328,,2017,1,6,5,1.1936
2006,1,6,6,1.14543253,,2017,1,6,6,1.1511
2006,1,6,7,1.098564428,,2017,1,6,7,1.104
2006,1,6,8,1.055477617,,2017,1,6,8,1.0607
2006,1,6,9,1.025525815,,2017,1,6,9,1.0306
2006,1,6,10,1.009505084,,2017,1,6,10,1.0145
2006,1,6,11,1.004529701,,2017,1,6,11,1.0095
2006,1,6,12,1.012689328,,2017,1,6,12,1.0177
2006,1,6,13,1.04264113,,2017,1,6,13,1.0478
2006,1,6,14,1.108316178,,2017,1,6,14,1.1138
2006,1,6,15,1.177075962,,2017,1,6,15,1.1829
2006,1,6,16,1.210510532,,2017,1,6,16,1.2165
2006,1,6,17,1.227426832,,2017,1,6,17,1.2335
2006,1,6,18,1.233695813,,2017,1,6,18,1.2398
2006,1,6,19,1.226929293,,2017,1,6,19,1.233
2006,1,6,20,1.215784437,,2017,1,6,20,1.2218
2006,1,6,21,1.208420871,,2017,1,6,21,1.2144
2006,1,6,22,1.200460259,,2017,1,6,22,1.2064
2006,1,6,23,1.1957834,,2017,1,6,23,1.2017
2006,1,6,24,1.201455336,,2017,1,6,24,1.2074
2006,1,7,1,1.233297783,,2017,1,7,1,1.2394
2006,1,7,2,1.263349092,,2017,1,7,2,1.2696
2006,1,7,3,1.274294934,,2017,1,7,3,1.2806
2006,1,7,4,1.273100842,,2017,1,7,4,1.2794
2006,1,7,5,1.253099805,,2017,1,7,5,1.2593
2006,1,7,6,1.217874097,,2017,1,7,6,1.2239
2006,1,7,7,1.179464146,,2017,1,7,7,1.1853
2006,1,7,8,1.148019729,,2017,1,7,8,1.1537
2006,1,7,9,1.123142817,,2017,1,7,9,1.1287
2006,1,7,10,1.106425532,,2017,1,7,10,1.1119
2006,1,7,11,1.100057043,,2017,1,7,11,1.1055
2006,1,7,12,1.101350642,,2017,1,7,12,1.1068
2006,1,7,13,1.113888606,,2017,1,7,13,1.1194
2006,1,7,14,1.137670934,,2017,1,7,14,1.1433
2006,1,7,15,1.174687778,,2017,1,7,15,1.1805
2006,1,7,16,1.213595269,,2017,1,7,16,1.2196
2006,1,7,17,1.242551994,,2017,1,7,17,1.2487
2006,1,7,18,1.250711621,,2017,1,7,18,1.2569
2006,1,7,19,1.243248548,,2017,1,7,19,1.2494
2006,1,7,20,1.225635694,,2017,1,7,20,1.2317
2006,1,7,21,1.19956469,,2017,1,7,21,1.2055
2006,1,7,22,1.173294671,,2017,1,7,22,1.1791
2006,1,7,23,1.153691665,,2017,1,7,23,1.1594
2006,1,7,24,1.154786249,,2017,1,7,24,1.1605
2006,1,8,1,1.191206048,,2017,1,8,1,1.1971
2006,1,8,2,1.237278089,,2017,1,8,2,1.2434
2006,1,8,3,1.259368786,,2017,1,8,3,1.2656
2006,1,8,4,1.265936291,,2017,1,8,4,1.2722
2006,1,8,5,1.253597343,,2017,1,8,5,1.2598
2006,1,8,6,1.226133232,,2017,1,8,6,1.2322
2006,1,8,7,1.194191277,,2017,1,8,7,1.2001
2006,1,8,8,1.165533075,,2017,1,8,8,1.1713
2006,1,8,9,1.14672613,,2017,1,8,9,1.1524
2006,1,8,10,1.133491612,,2017,1,8,10,1.1391
2006,1,8,11,1.129710322,,2017,1,8,11,1.1353
2006,1,8,12,1.132496536,,2017,1,8,12,1.1381
2006,1,8,13,1.142646316,,2017,1,8,13,1.1483
2006,1,8,14,1.166528151,,2017,1,8,14,1.1723
2006,1,8,15,1.197276014,,2017,1,8,15,1.2032
2006,1,8,16,1.226431755,,2017,1,8,16,1.2325
2006,1,8,17,1.231606153,,2017,1,8,17,1.2377
2006,1,8,18,1.214888868,,2017,1,8,18,1.2209
2006,1,8,19,1.188618849,,2017,1,8,19,1.1945
2006,1,8,20,1.170110427,,2017,1,8,20,1.1759
2006,1,8,21,1.14841776,,2017,1,8,21,1.1541
2006,1,8,22,1.129312291,,2017,1,8,22,1.1349
2006,1,8,23,1.119660049,,2017,1,8,23,1.1252
2006,1,8,24,1.128317215,,2017,1,8,24,1.1339
2006,1,9,1,1.171802057,,2017,1,9,1,1.1776
2006,1,9,2,1.222550957,,2017,1,9,2,1.2286
2006,1,9,3,1.247925407,,2017,1,9,3,1.2541
2006,1,9,4,1.256781588,,2017,1,9,4,1.263
2006,1,9,5,1.23638252,,2017,1,9,5,1.2425
2006,1,9,6,1.196280938,,2017,1,9,6,1.2022
2006,1,9,7,1.153094619,,2017,1,9,7,1.1588
2006,1,9,8,1.116873835,,2017,1,9,8,1.1224
2006,1,9,9,1.093788061,,2017,1,9,9,1.0992
2006,1,9,10,1.083737789,,2017,1,9,10,1.0891
2006,1,9,11,1.0760757,,2017,1,9,11,1.0814
2006,1,9,12,1.088116125,,2017,1,9,12,1.0935
2006,1,9,13,1.121351679,,2017,1,9,13,1.1269
2006,1,9,14,1.188718357,,2017,1,9,14,1.1946
2006,1,9,15,1.255587496,,2017,1,9,15,1.2618
2006,1,9,16,1.276484102,,2017,1,9,16,1.2828
2006,1,9,17,1.265637768,,2017,1,9,17,1.2719
2006,1,9,18,1.242950025,,2017,1,9,18,1.2491
2006,1,9,19,1.212102654,,2017,1,9,19,1.2181
2006,1,9,20,1.184240513,,2017,1,9,20,1.1901
2006,1,9,21,1.159363601,,2017,1,9,21,1.1651
2006,1,9,22,1.138765518,,2017,1,9,22,1.1444
2006,1,9,23,1.126128047,,2017,1,9,23,1.1317
2006,1,9,24,1.129909337,,2017,1,9,24,1.1355
2006,1,10,1,1.168418797,,2017,1,10,1,1.1742
2006,1,10,2,1.206032687,,2017,1,10,2,1.212
2006,1,10,3,1.222053419,,2017,1,10,3,1.2281
2006,1,10,4,1.216978529,,2017,1,10,4,1.223
2006,1,10,5,1.187126234,,2017,1,10,5,1.193
2006,1,10,6,1.139860102,,2017,1,10,6,1.1455
2006,1,10,7,1.086524003,,2017,1,10,7,1.0919
2006,1,10,8,1.040053931,,2017,1,10,8,1.0452
2006,1,10,9,1.004231178,,2017,1,10,9,1.0092
2006,1,10,10,0.979254759,,2017,1,10,10,0.9841
2006,1,10,11,0.967811379,,2017,1,10,11,0.9726
2006,1,10,12,0.973483315,,2017,1,10,12,0.9783
2006,1,10,13,1.001743487,,2017,1,10,13,1.0067
2006,1,10,14,1.066522966,,2017,1,10,14,1.0718
2006,1,10,15,1.124635432,,2017,1,10,15,1.1302
2006,1,10,16,1.147024652,,2017,1,10,16,1.1527
2006,1,10,17,1.143143854,,2017,1,10,17,1.1488
2006,1,10,18,1.131998998,,2017,1,10,18,1.1376
2006,1,10,19,1.11498319,,2017,1,10,19,1.1205
2006,1,10,20,1.09637526,,2017,1,10,20,1.1018
2006,1,10,21,1.082046159,,2017,1,10,21,1.0874
2006,1,10,22,1.069607703,,2017,1,10,22,1.0749
2006,1,10,23,1.061846106,,2017,1,10,23,1.0671
2006,1,10,24,1.067319027,,2017,1,10,24,1.0726
2006,1,11,1,1.099957535,,2017,1,11,1,1.1054
2006,1,11,2,1.120356603,,2017,1,11,2,1.1259
2006,1,11,3,1.132994074,,2017,1,11,3,1.1386
2006,1,11,4,1.126426569,,2017,1,11,4,1.132
2006,1,11,5,1.092892492,,2017,1,11,5,1.0983
2006,1,11,6,1.045526852,,2017,1,11,6,1.0507
2006,1,11,7,0.989006508,,2017,1,11,7,0.9939
2006,1,11,8,0.936167947,,2017,1,11,8,0.9408
2006,1,11,9,0.902434855,,2017,1,11,9,0.9069
2006,1,11,10,0.881339234,,2017,1,11,10,0.8857
2006,1,11,11,0.870393392,,2017,1,11,11,0.8747
2006,1,11,12,0.873279114,,2017,1,11,12,0.8776
2006,1,11,13,0.900444702,,2017,1,11,13,0.9049
2006,1,11,14,0.964328612,,2017,1,11,14,0.9691
2006,1,11,15,1.026819414,,2017,1,11,15,1.0319
2006,1,11,16,1.048313066,,2017,1,11,16,1.0535
2006,1,11,17,1.048611589,,2017,1,11,17,1.0538
2006,1,11,18,1.047019467,,2017,1,11,18,1.0522
2006,1,11,19,1.037367225,,2017,1,11,19,1.0425
2006,1,11,20,1.025923846,,2017,1,11,20,1.031
2006,1,11,21,1.02741646,,2017,1,11,21,1.0325
2006,1,11,22,1.011196714,,2017,1,11,22,1.0162
2006,1,11,23,1.006320839,,2017,1,11,23,1.0113
2006,1,11,24,1.011694252,,2017,1,11,24,1.0167
2006,1,12,1,1.036969194,,2017,1,12,1,1.0421
2006,1,12,2,1.063935767,,2017,1,12,2,1.0692
2006,1,12,3,1.075976192,,2017,1,12,3,1.0813
2006,1,12,4,1.073986039,,2017,1,12,4,1.0793
2006,1,12,5,1.04562636,,2017,1,12,5,1.0508
2006,1,12,6,0.997265643,,2017,1,12,6,1.0022
2006,1,12,7,0.944327575,,2017,1,12,7,0.949
2006,1,12,8,0.89417572,,2017,1,12,8,0.8986
2006,1,12,9,0.856263307,,2017,1,12,9,0.8605
2006,1,12,10,0.832679994,,2017,1,12,10,0.8368
2006,1,12,11,0.823027752,,2017,1,12,11,0.8271
2006,1,12,12,0.825515443,,2017,1,12,12,0.8296
2006,1,12,13,0.851685955,,2017,1,12,13,0.8559
2006,1,12,14,0.917958048,,2017,1,12,14,0.9225
2006,1,12,15,0.984727679,,2017,1,12,15,0.9896
2006,1,12,16,1.012589821,,2017,1,12,16,1.0176
2006,1,12,17,1.023038124,,2017,1,12,17,1.0281
2006,1,12,18,1.029705136,,2017,1,12,18,1.0348
2006,1,12,19,1.029008583,,2017,1,12,19,1.0341
2006,1,12,20,1.025127784,,2017,1,12,20,1.0302
2006,1,12,21,1.020948463,,2017,1,12,21,1.026
2006,1,12,22,1.015774065,,2017,1,12,22,1.0208
2006,1,12,23,1.010699175,,2017,1,12,23,1.0157
2006,1,12,24,1.013684405,,2017,1,12,24,1.0187
2006,1,13,1,1.035675595,,2017,1,13,1,1.0408
2006,1,13,2,1.063139706,,2017,1,13,2,1.0684
2006,1,13,3,1.077070776,,2017,1,13,3,1.0824
2006,1,13,4,1.075180131,,2017,1,13,4,1.0805
2006,1,13,5,1.049507158,,2017,1,13,5,1.0547
2006,1,13,6,1.004629209,,2017,1,13,6,1.0096
2006,1,13,7,0.955273416,,2017,1,13,7,0.96
2006,1,13,8,0.912485127,,2017,1,13,8,0.917
2006,1,13,9,0.87855302,,2017,1,13,9,0.8829
2006,1,13,10,0.855765768,,2017,1,13,10,0.86
2006,1,13,11,0.845615988,,2017,1,13,11,0.8498
2006,1,13,12,0.847506634,,2017,1,13,12,0.8517
2006,1,13,13,0.875667298,,2017,1,13,13,0.88
2006,1,13,14,0.939551207,,2017,1,13,14,0.9442
2006,1,13,15,1.003932655,,2017,1,13,15,1.0089
2006,1,13,16,1.033884457,,2017,1,13,16,1.039
2006,1,13,17,1.049308143,,2017,1,13,17,1.0545
2006,1,13,18,1.059855953,,2017,1,13,18,1.0651
2006,1,13,19,1.060054969,,2017,1,13,19,1.0653
2006,1,13,20,1.054383033,,2017,1,13,20,1.0596
2006,1,13,21,1.046521929,,2017,1,13,21,1.0517
2006,1,13,22,1.038561317,,2017,1,13,22,1.0437
2006,1,13,23,1.032889381,,2017,1,13,23,1.038
2006,1,13,24,1.035675595,,2017,1,13,24,1.0408
2006,1,14,1,1.056373186,,2017,1,14,1,1.0616
2006,1,14,2,1.077866837,,2017,1,14,2,1.0832
2006,1,14,3,1.07816536,,2017,1,14,3,1.0835
2006,1,14,4,1.072493425,,2017,1,14,4,1.0778
2006,1,14,5,1.048810604,,2017,1,14,5,1.054
2006,1,14,6,1.010997698,,2017,1,14,6,1.016
2006,1,14,7,0.966617288,,2017,1,14,7,0.9714
2006,1,14,8,0.925222106,,2017,1,14,8,0.9298
2006,1,14,9,0.89417572,,2017,1,14,9,0.8986
2006,1,14,10,0.873677145,,2017,1,14,10,0.878
2006,1,14,11,0.859049521,,2017,1,14,11,0.8633
2006,1,14,12,0.855865276,,2017,1,14,12,0.8601
2006,1,14,13,0.865716533,,2017,1,14,13,0.87
2006,1,14,14,0.885817078,,2017,1,14,14,0.8902
2006,1,14,15,0.920246724,,2017,1,14,15,0.9248
2006,1,14,16,0.956168985,,2017,1,14,16,0.9609
2006,1,14,17,0.990101092,,2017,1,14,17,0.995
2006,1,14,18,1.01219179,,2017,1,14,18,1.0172
2006,1,14,19,1.02025191,,2017,1,14,19,1.0253
2006,1,14,20,1.015873573,,2017,1,14,20,1.0209
2006,1,14,21,1.004529701,,2017,1,14,21,1.0095
2006,1,14,22,0.992986814,,2017,1,14,22,0.9979
2006,1,14,23,0.986717832,,2017,1,14,23,0.9916
2006,1,14,24,0.989404539,,2017,1,14,24,0.9943
2006,1,15,1,1.008609515,,2017,1,15,1,1.0136
2006,1,15,2,1.033287411,,2017,1,15,2,1.0384
2006,1,15,3,1.03925787,,2017,1,15,3,1.0444
2006,1,15,4,1.03756624,,2017,1,15,4,1.0427
2006,1,15,5,1.016371111,,2017,1,15,5,1.0214
2006,1,15,6,0.983732603,,2017,1,15,6,0.9886
2006,1,15,7,0.944327575,,2017,1,15,7,0.949
2006,1,15,8,0.903628947,,2017,1,15,8,0.9081
2006,1,15,9,0.876562867,,2017,1,15,9,0.8809
2006,1,15,10,0.856362814,,2017,1,15,10,0.8606
2006,1,15,11,0.844322389,,2017,1,15,11,0.8485
2006,1,15,12,0.839745037,,2017,1,15,12,0.8439
2006,1,15,13,0.841834698,,2017,1,15,13,0.846
2006,1,15,14,0.856760845,,2017,1,15,14,0.861
2006,1,15,15,0.882732341,,2017,1,15,15,0.8871
2006,1,15,16,0.915072326,,2017,1,15,16,0.9196
2006,1,15,17,0.941740376,,2017,1,15,17,0.9464
2006,1,15,18,0.953979816,,2017,1,15,18,0.9587
2006,1,15,19,0.956666523,,2017,1,15,19,0.9614
2006,1,15,20,0.954775878,,2017,1,15,20,0.9595
2006,1,15,21,0.950696064,,2017,1,15,21,0.9554
2006,1,15,22,0.944228067,,2017,1,15,22,0.9489
2006,1,15,23,0.941740376,,2017,1,15,23,0.9464
2006,1,15,24,0.948606403,,2017,1,15,24,0.9533
2006,1,16,1,0.974876422,,2017,1,16,1,0.9797
2006,1,16,2,1.008510007,,2017,1,16,2,1.0135
2006,1,16,3,1.013783913,,2017,1,16,3,1.0188
2006,1,16,4,1.018361264,,2017,1,16,4,1.0234
2006,1,16,5,0.998957273,,2017,1,16,5,1.0039
2006,1,16,6,0.966119749,,2017,1,16,6,0.9709
2006,1,16,7,0.92462506,,2017,1,16,7,0.9292
2006,1,16,8,0.887309693,,2017,1,16,8,0.8917
2006,1,16,9,0.857755921,,2017,1,16,9,0.862
2006,1,16,10,0.841138144,,2017,1,16,10,0.8453
2006,1,16,11,0.835565716,,2017,1,16,11,0.8397
2006,1,16,12,0.840342083,,2017,1,16,12,0.8445
2006,1,16,13,0.861537212,,2017,1,16,13,0.8658
2006,1,16,14,0.906614176,,2017,1,16,14,0.9111
2006,1,16,15,0.95975126,,2017,1,16,15,0.9645
2006,1,16,16,0.998061704,,2017,1,16,16,1.003
2006,1,16,17,1.024232216,,2017,1,16,17,1.0293
2006,1,16,18,1.042342607,,2017,1,16,18,1.0475
2006,1,16,19,1.046919959,,2017,1,16,19,1.0521
2006,1,16,20,1.042541623,,2017,1,16,20,1.0477
2006,1,16,21,1.033884457,,2017,1,16,21,1.039
2006,1,16,22,1.023535662,,2017,1,16,22,1.0286
2006,1,16,23,1.016371111,,2017,1,16,23,1.0214
2006,1,16,24,1.020152402,,2017,1,16,24,1.0252
2006,1,17,1,1.045228329,,2017,1,17,1,1.0504
2006,1,17,2,1.07100081,,2017,1,17,2,1.0763
2006,1,17,3,1.082145666,,2017,1,17,3,1.0875
2006,1,17,4,1.076871761,,2017,1,17,4,1.0822
2006,1,17,5,1.045725867,,2017,1,17,5,1.0509
2006,1,17,6,0.996668597,,2017,1,17,6,1.0016
2006,1,17,7,0.94283496,,2017,1,17,7,0.9475
2006,1,17,8,0.896961934,,2017,1,17,8,0.9014
2006,1,17,9,0.861039674,,2017,1,17,9,0.8653
2006,1,17,10,0.840143068,,2017,1,17,10,0.8443
2006,1,17,11,0.829794272,,2017,1,17,11,0.8339
2006,1,17,12,0.834272116,,2017,1,17,12,0.8384
2006,1,17,13,0.862532288,,2017,1,17,13,0.8668
2006,1,17,14,0.92591866,,2017,1,17,14,0.9305
2006,1,17,15,0.991195677,,2017,1,17,15,0.9961
2006,1,17,16,1.022043047,,2017,1,17,16,1.0271
2006,1,17,17,1.037864763,,2017,1,17,17,1.043
2006,1,17,18,1.045526852,,2017,1,17,18,1.0507
2006,1,17,19,1.041447039,,2017,1,17,19,1.0466
2006,1,17,20,1.034979041,,2017,1,17,20,1.0401
2006,1,17,21,1.02910809,,2017,1,17,21,1.0342
2006,1,17,22,1.01895831,,2017,1,17,22,1.024
2006,1,17,23,1.016271604,,2017,1,17,23,1.0213
2006,1,17,24,1.020749448,,2017,1,17,24,1.0258
2006,1,18,1,1.042740638,,2017,1,18,1,1.0479
2006,1,18,2,1.070901302,,2017,1,18,2,1.0762
2006,1,18,3,1.081051082,,2017,1,18,3,1.0864
2006,1,18,4,1.0760757,,2017,1,18,4,1.0814
2006,1,18,5,1.043138669,,2017,1,18,5,1.0483
2006,1,18,6,0.994180906,,2017,1,18,6,0.9991
2006,1,18,7,0.93477484,,2017,1,18,7,0.9394
2006,1,18,8,0.887906738,,2017,1,18,8,0.8923
2006,1,18,9,0.852780539,,2017,1,18,9,0.857
2006,1,18,10,0.830689841,,2017,1,18,10,0.8348
2006,1,18,11,0.826908551,,2017,1,18,11,0.831
2006,1,18,12,0.82989378,,2017,1,18,12,0.834
2006,1,18,13,0.853775615,,2017,1,18,13,0.858
2006,1,18,14,0.915569864,,2017,1,18,14,0.9201
2006,1,18,15,0.981841958,,2017,1,18,15,0.9867
2006,1,18,16,1.011594744,,2017,1,18,16,1.0166
2006,1,18,17,1.024132708,,2017,1,18,17,1.0292
2006,1,18,18,1.030501197,,2017,1,18,18,1.0356
2006,1,18,19,1.027515968,,2017,1,18,19,1.0326
2006,1,18,20,1.021246986,,2017,1,18,20,1.0263
2006,1,18,21,1.017963234,,2017,1,18,21,1.023
2006,1,18,22,1.010699175,,2017,1,18,22,1.0157
2006,1,18,23,1.006121824,,2017,1,18,23,1.0111
2006,1,18,24,1.010898191,,2017,1,18,24,1.0159
2006,1,19,1,1.031098243,,2017,1,19,1,1.0362
2006,1,19,2,1.061149553,,2017,1,19,2,1.0664
2006,1,19,3,1.074583085,,2017,1,19,3,1.0799
2006,1,19,4,1.070005733,,2017,1,19,4,1.0753
2006,1,19,5,1.041148516,,2017,1,19,5,1.0463
2006,1,19,6,0.993484352,,2017,1,19,6,0.9984
2006,1,19,7,0.9394517,,2017,1,19,7,0.9441
2006,1,19,8,0.894474243,,2017,1,19,8,0.8989
2006,1,19,9,0.859845582,,2017,1,19,9,0.8641
2006,1,19,10,0.838948976,,2017,1,19,10,0.8431
